,id,tackles_r_count,offsides_r_count,total_shots_l,yellow_cards_r_count,shots_on_target_l,corners_l_count,goals_r_count,shots_on_target_r,passes_r,tackles_l_count,possession_l,goals_l_count,corners_r_count,passes_l,yellow_cards_l_count,free_kicks_r_count,free_kicks_l_count,fouls_r_count,offsides_l_count,ball_on_side_l,outlier,score
54,100055,19,0,19,0,34,3,1,4,203,26,57,1,0,645,1,12,2,1,2,41,1,-1.0747471990101174
55,100056,27,0,8,0,14,1,0,3,149,14,80,1,0,1032,0,5,5,4,0,60,1,-1.0469331259022523
56,100057,43,0,18,1,36,2,0,1,240,21,75,0,0,849,0,6,5,8,1,51,1,-1.3334131608415072
57,100058,28,0,20,0,37,1,1,0,311,24,64,3,0,696,0,8,4,3,0,42,1,-0.9967842647421525
58,100059,40,0,14,0,47,1,0,0,258,22,70,0,0,759,0,9,1,1,0,40,1,-0.999845396777658
59,100060,25,0,22,0,16,1,0,4,360,35,58,3,0,778,0,14,1,1,0,48,1,-1.0450013614879805
60,100061,25,0,25,0,3,1,1,7,321,23,65,1,1,713,1,9,4,2,0,46,1,-1.0089248447762869
61,100062,24,0,23,0,20,1,0,0,197,14,71,1,0,919,0,6,2,2,1,55,1,-0.9823004397371284
62,100063,33,0,11,0,35,2,0,0,223,17,72,1,0,986,0,5,4,4,0,45,1,-0.994842300101628
63,100064,20,0,6,0,28,1,1,4,229,27,72,1,0,921,0,7,1,1,1,49,1,-0.9812001848752645
64,100065,28,0,10,0,33,4,1,0,253,26,64,1,0,612,1,10,2,3,0,43,1,-1.0090696713919325
65,100066,35,0,31,0,22,3,0,0,265,15,69,1,1,746,0,6,1,1,0,36,1,-1.0439440044053063
66,100067,31,0,7,0,20,0,1,14,377,22,60,1,1,667,0,12,2,1,0,55,1,-1.060154381769659
67,100068,25,0,28,0,43,0,0,1,278,17,68,1,0,672,0,9,2,2,0,36,1,-0.986864161249523
68,100069,20,2,13,0,15,2,0,10,318,24,56,1,1,618,1,8,5,2,0,56,1,-1.3623320718029992
69,100070,20,0,15,0,39,1,1,0,336,25,61,3,0,779,1,13,1,1,0,47,1,-1.0108801150769453
70,100071,28,1,2,0,5,0,1,3,260,22,64,2,0,759,0,9,4,2,0,62,1,-1.0735617343165116
71,100072,20,0,34,0,28,0,0,0,320,28,62,2,0,732,0,10,5,4,0,46,1,-1.0253722975033168
72,100073,21,0,12,0,17,0,0,3,246,27,68,1,0,876,0,7,1,0,0,50,1,-0.980332142717428
73,100074,25,0,41,0,54,0,1,2,265,16,73,3,0,837,0,8,4,3,0,39,1,-1.035171110137921
